,ROLES,COMPANIES,LOCATIONS,EXPERIENCE,SKILLS,DATES,PRESENTDATE,SALARY,LINKS,SPECIALITY,DESCRIPTION
380,Team Lead - Software Engineer,AMETEK Inc,Bengaluru,3-5 Yrs,"('RTOS', 'C++', 'Linux', 'UML', 'Windows', 'VB', 'WPF', 'microsoft')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-team-lead-software-engineer-ametek-inc-bengaluru-bangalore-3-to-5-years-271020501050?src=jobsearchDesk&sid=16075355925839982&xp=1&px=20,NULL,Evaluation and qualification of next generation technologies that support the shift to ...
381,Senior Software Engineer,teradata corporations,Hyderabad,5-10 Yrs,"('IT Skills', 'Python', 'Software Development', 'Testing', 'Cloud', 'DevOps', 'AWS', 'Azure')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-teradata-corporations-hyderabad-secunderabad-5-to-10-years-271020500422?src=jobsearchDesk&sid=16075355925839982&xp=2&px=20,NULL,"Minimum of 5 years of experience in professional software / cloud engineering, includin..."
382,Developer Others,ITC Infotech India Ltd.,Bengaluru,4-8 Yrs,"('IT Skills', 'Java', 'J2EE', 'Python', 'Javascript', 'Big Data', 'Core Java', 'Automation')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-developer-others-itc-infotech-india-ltd-bengaluru-bangalore-4-to-8-years-271020500189?src=jobsearchDesk&sid=16075355925839982&xp=3&px=20,NULL,"Hadoop (preferably Cloudera (CDH)), HDFS, Hive, Impala, Spark, Oozie, HBase"
383,ERPNext Developer,earthians Software Services,Kozhikode,1-4 Yrs,"('IT Skills', 'Python', 'Node.js', 'HTML', 'CSS', 'Javascript', 'jQuery', 'Version control')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-erpnext-developer-earthians-software-services-kozhikode-calicut-1-to-4-years-270820500805?src=jobsearchDesk&sid=16075355925839982&xp=4&px=20,NULL,You should also be a quick learner and a good problem solverYou should be an excellent ...
384,Senior Software Engineer Mean Stack Angular Developer (Polyglot),Fortune Human Capital (P) Ltd,"Delhi NCR, Gurgaon, Noida",3-8 Yrs,"('Jawa', 'Agile Practices', 'User Experience', 'API Creation', 'HTML', 'Go Lang', 'Data Structure', 'Angular js')",13 DAYS AGO,2020-12-09,"6,00,000 - 10,00,000 PA.",https://www.naukri.com/job-listings-senior-software-engineer-mean-stack-angular-developer-polyglot-fortune-human-capital-p-ltd-delhi-ncr-gurgaon-noida-3-to-8-years-261120603986?src=jobsearchDesk&sid=16075355925839982&xp=5&px=20,PREFERRED,Develop new user-facing features with great user experience using various web technolog...
385,Backend Software Developer (WFH),Successr HR Tech PVT LTD,India,4-7 Yrs,"('NoSQL/SQL', 'Node.js', 'Cloudformation', 'React', 'Typescript', 'PostgreSQL', 'MongoDB', 'Node')",14 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-backend-software-developer-wfh-successr-hr-tech-pvt-ltd-india-4-to-7-years-251120905645?src=jobsearchDesk&sid=16075355925839982&xp=6&px=20,HOT JOB,Roles and ResponsibilitiesFunction: Backend Software DeveloperAbout This RoleAs a backe...
386,Jr . Full Stack Developer,FinancePeer,Hyderabad,0-5 Yrs,"('Database architecture', 'HTML;Javascript', 'Front end', 'GIT', 'Web technologies', 'RDBMS', 'Django', 'SQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-jr-full-stack-developer-financepeer-hyderabad-secunderabad-0-to-5-years-250920500344?src=jobsearchDesk&sid=16075355925839982&xp=7&px=20,NULL,We are looking for a highly skilled computer programmer who is comfortable with both fr...
387,ODOO Developer,EBSL Automat Pvt Ltd,Bengaluru,1-6 Yrs,"('ERP', 'Linux', 'Coding', 'Postgresql', 'MySQL', 'Consulting', 'PHP', 'Data structures')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-odoo-developer-ebsl-automat-pvt-ltd-bengaluru-bangalore-1-to-6-years-240920500461?src=jobsearchDesk&sid=16075355925839982&xp=8&px=20,NULL,Expertise in understanding the client requirement and provide the working demo and prov...
388,Full Stack Developer,Snaphunt,Remote,2-7 Yrs,"('Unix', 'Open Source', 'Linux', 'Relational Databases', 'Design Patterns', 'Continuous Integration', 'Build', 'SQL Queries')",30 DAYS AGO,2020-12-09,"6,00,000 - 12,00,000 PA.",https://www.naukri.com/job-listings-full-stack-developer-snaphunt-remote-2-to-7-years-240920002786?src=jobsearchDesk&sid=16075355925839982&xp=9&px=20,HOT JOB,You have a degree from a reputed institute with at least 2 years experience in a Full S...
389,Software Developer- Backend,IBM India Pvt. Limited,Bengaluru,3-8 Yrs,"('Nightwatch', 'VMware', 'REST API back-end development', 'fluentd', 'DevOps', 'Prometheus', 'Grafana', 'ELK')",16 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-developer-backend-ibm-india-pvt-limited-bengaluru-bangalore-3-to-8-years-231120900487?src=jobsearchDesk&sid=16075355925839982&xp=10&px=20,HOT JOB,Required Technical and Professional ExpertisePreferred Technical and Professional Exper...
